,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,gilbues,35.0,BR,1576994136.0,55.0,-9.83,-45.34,75.33,4.52
1,port pirie,85.0,AU,1576993943.0,28.0,-33.18,138.01,86.0,13.87
2,saldanha,17.0,PT,1576994137.0,94.0,41.42,-6.55,43.97,10.96
3,port alfred,79.0,ZA,1576994138.0,75.0,-33.59,26.89,72.0,4.54
4,rikitea,100.0,PF,1576994139.0,87.0,-23.12,-134.97,73.47,15.61
5,peniche,40.0,PT,1576994140.0,93.0,39.36,-9.38,60.01,11.41
6,punta arenas,55.0,CL,1576994141.0,75.0,-53.16,-70.91,44.6,8.05
7,huntsville,90.0,US,1576994141.0,87.0,34.73,-86.59,46.99,8.05
8,colares,75.0,PT,1576994142.0,87.0,38.8,-9.45,59.0,10.29
9,bara,63.0,NG,1576994143.0,24.0,10.41,10.6,57.61,5.64
10,kencong,53.0,ID,1576994144.0,59.0,-7.78,112.24,89.29,10.18
11,san jeronimo,100.0,PE,1576994144.0,94.0,-13.65,-73.37,48.97,0.89
12,lima,75.0,PE,1576993926.0,88.0,-12.06,-77.04,68.0,6.93
13,camacha,0.0,PT,1576994146.0,93.0,33.08,-16.33,64.4,3.36
14,pevek,100.0,RU,1576994146.0,99.0,69.7,170.27,-13.59,1.41
15,castro,90.0,CL,1576994147.0,87.0,-42.48,-73.76,53.6,4.7
16,hilo,90.0,US,1576994114.0,69.0,19.71,-155.08,75.2,9.17
17,busselton,51.0,AU,1576994149.0,19.0,-33.64,115.35,91.0,18.25
18,severo-kurilsk,98.0,RU,1576994149.0,87.0,50.68,156.12,14.83,12.66
19,staropesterevo,100.0,RU,1576994150.0,93.0,54.5,86.41,27.46,8.3
20,tortoli,5.0,IT,1576994136.0,58.0,39.93,9.66,57.2,48.32
21,avarua,100.0,CK,1576994151.0,94.0,-21.21,-159.78,75.2,11.41
22,luba,32.0,PH,1576994152.0,64.0,17.32,120.7,83.14,5.93
23,dikson,100.0,RU,1576994153.0,94.0,73.51,80.55,2.91,10.74
24,constitucion,68.0,MX,1576994153.0,76.0,23.99,-104.67,46.0,7.0
25,yellowknife,90.0,CA,1576994154.0,76.0,62.45,-114.38,-7.6,9.17
26,ushuaia,20.0,AR,1576994015.0,70.0,-54.81,-68.31,44.6,4.76
27,arraial do cabo,86.0,BR,1576994155.0,88.0,-22.97,-42.02,75.94,20.22
28,litovko,0.0,RU,1576994157.0,78.0,49.24,135.18,-5.04,11.01
29,manzhouli,45.0,CN,1576994157.0,90.0,49.6,117.43,-6.83,2.06
30,bambous virieux,40.0,MU,1576994158.0,66.0,-20.34,57.76,84.2,16.11
31,atuona,38.0,PF,1576994159.0,73.0,-9.8,-139.03,80.37,13.22
32,praia da vitoria,20.0,PT,1576994160.0,82.0,38.73,-27.07,60.01,8.28
33,beyneu,51.0,KZ,1576994160.0,70.0,45.32,55.19,29.19,2.95
34,labuhan,39.0,ID,1576994161.0,79.0,-2.54,115.51,84.81,3.53
35,khatanga,0.0,RU,1576994162.0,90.0,71.98,102.47,-19.01,6.53
36,roros,100.0,NO,1576994162.0,100.0,62.57,11.38,28.4,3.36
37,road town,1.0,VG,1576993967.0,74.0,18.42,-64.62,78.8,9.17
38,ibra,0.0,OM,1576994164.0,32.0,22.69,58.55,68.63,10.98
39,ponta do sol,91.0,BR,1576994164.0,92.0,-20.63,-46.0,65.26,2.17
40,nikolskoye,90.0,RU,1576994166.0,93.0,59.7,30.79,37.4,8.95
41,luderitz,0.0,NA,1576994167.0,68.0,-26.65,15.16,64.4,13.87
42,tezu,97.0,IN,1576994168.0,59.0,27.93,96.16,65.66,3.58
43,jamestown,89.0,AU,1576994168.0,13.0,-33.21,138.6,91.92,5.66
44,vaini,70.0,IN,1576994169.0,69.0,15.34,74.49,75.2,11.41
45,tiznit,21.0,MA,1576994170.0,68.0,29.7,-9.73,53.56,0.96
46,victoria,75.0,BN,1576994172.0,74.0,5.28,115.24,89.6,3.36
47,mataura,85.0,NZ,1576994172.0,72.0,-46.19,168.86,57.99,17.0
48,ouahigouya,0.0,BF,1576994174.0,16.0,13.58,-2.42,66.9,9.98
49,barrow,0.0,AR,1576994175.0,86.0,-38.31,-60.23,45.59,3.71
50,mnogovershinnyy,32.0,RU,1576994175.0,89.0,53.94,139.92,-20.22,8.05
51,cocula,75.0,MX,1576994177.0,81.0,20.37,-103.82,52.0,2.95
52,airai,71.0,TL,1576994177.0,50.0,-8.93,125.41,82.85,6.76
53,gornopravdinsk,90.0,RU,1576994178.0,95.0,60.06,69.92,1.98,5.55
54,hermanus,0.0,ZA,1576994179.0,72.0,-34.42,19.24,64.99,11.01
55,cape town,13.0,ZA,1576994049.0,59.0,-33.93,18.42,66.99,11.41
56,veseloyarsk,98.0,RU,1576994180.0,87.0,51.29,81.11,21.33,17.05
57,la ronge,90.0,CA,1576994181.0,92.0,55.1,-105.3,14.0,9.17
58,tromso,75.0,NO,1576994182.0,86.0,69.65,18.96,32.0,14.99
59,presidencia roque saenz pena,0.0,AR,1576994183.0,65.0,-26.79,-60.44,61.83,4.63
60,nguruka,43.0,TZ,1576994184.0,83.0,-5.11,31.04,70.88,0.92
61,sobolevo,100.0,RU,1576994184.0,97.0,54.43,31.9,40.19,10.78
62,albany,20.0,US,1576993946.0,78.0,42.65,-73.75,21.0,3.15
63,chimore,100.0,BO,1576994186.0,99.0,-16.98,-65.13,72.34,1.21
64,puerto ayora,0.0,EC,1576994186.0,89.0,-0.74,-90.35,71.24,10.25
65,katsuura,75.0,JP,1576994188.0,70.0,33.93,134.5,50.0,10.29
66,pyaozerskiy,100.0,RU,1576994188.0,98.0,65.83,31.17,30.67,5.08
67,hithadhoo,32.0,MV,1576994189.0,77.0,-0.6,73.08,83.01,9.98
68,kapaa,90.0,US,1576994190.0,83.0,22.08,-159.32,73.4,24.16
69,panaba,100.0,MX,1576994191.0,90.0,21.28,-88.27,74.53,10.0
70,moose factory,90.0,CA,1576994191.0,92.0,51.26,-80.61,26.6,12.75
71,pirgos,20.0,GR,1576994193.0,67.0,35.12,25.72,64.0,16.11
72,ahipara,2.0,NZ,1576994193.0,76.0,-35.17,173.16,66.0,1.99
73,padang,100.0,ID,1576994194.0,69.0,-0.92,100.36,79.11,4.07
74,broken hill,28.0,AU,1576994195.0,7.0,-31.97,141.45,91.4,10.29
75,santa rosa,0.0,AR,1576994196.0,44.0,-36.62,-64.29,58.93,4.74
76,aulnoye-aymeries,90.0,FR,1576994198.0,93.0,50.2,3.84,46.99,8.05
77,pisco,100.0,PE,1576994198.0,88.0,-13.71,-76.2,68.0,6.93
78,otradnoye,90.0,RU,1576994199.0,93.0,59.77,30.8,37.4,8.95
79,mount gambier,0.0,AU,1576994200.0,43.0,-37.83,140.78,73.4,18.34
80,tuktoyaktuk,90.0,CA,1576994200.0,75.0,69.44,-133.03,-14.8,8.05
81,teahupoo,75.0,PF,1576994201.0,78.0,-17.83,-149.27,80.6,5.82
82,qaanaaq,75.0,GL,1576994202.0,71.0,77.48,-69.36,-6.95,2.04
83,tautira,75.0,PF,1576994203.0,78.0,-17.73,-149.15,80.6,5.82
84,new norfolk,75.0,AU,1576994204.0,48.0,-42.78,147.06,73.0,21.92
85,fairbanks,100.0,US,1576994205.0,73.0,64.84,-147.72,-20.99,1.34
86,alofi,71.0,NU,1576994205.0,88.0,-19.06,-169.92,80.6,10.29
87,hobart,75.0,AU,1576994206.0,48.0,-42.88,147.33,73.0,21.92
88,grindavik,75.0,IS,1576994207.0,70.0,63.84,-22.43,33.8,29.97
89,zhanaozen,100.0,KZ,1576994207.0,67.0,43.35,52.85,31.19,12.12
90,pacific grove,1.0,US,1576994014.0,76.0,36.62,-121.92,55.99,5.82
91,kodiak,20.0,US,1576994209.0,100.0,39.95,-94.76,37.0,4.7
